节点,类型,父节点,P(0),P(1),条件
疾病_动脉硬化,条件概率,"疾病_高脂血症, 检验_总蛋白",1.0000,0.0000,"0,0"
疾病_动脉硬化,条件概率,"疾病_高脂血症, 检验_总蛋白",0.8000,0.2000,"0,1"
疾病_动脉硬化,条件概率,"疾病_高脂血症, 检验_总蛋白",0.5000,0.5000,"1,0"
疾病_动脉硬化,条件概率,"疾病_高脂血症, 检验_总蛋白",0.8000,0.2000,"1,1"
疾病_脂肪肝,条件概率,"疾病_动脉硬化, 疾病_高尿酸血症",0.9737,0.0263,"0,0"
疾病_脂肪肝,条件概率,"疾病_动脉硬化, 疾病_高尿酸血症",0.7500,0.2500,"0,1"
疾病_脂肪肝,条件概率,"疾病_动脉硬化, 疾病_高尿酸血症",0.3333,0.6667,"1,0"
疾病_脂肪肝,条件概率,"疾病_动脉硬化, 疾病_高尿酸血症",1.0000,0.0000,"1,1"
疾病_混合痔,条件概率,"疾病_高脂血症, 检验_尿酸, 检验_葡萄糖",0.4286,0.5714,"0,0,0"
疾病_混合痔,条件概率,"疾病_高脂血症, 检验_尿酸, 检验_葡萄糖",1.0000,0.0000,"0,0,1"
疾病_混合痔,条件概率,"疾病_高脂血症, 检验_尿酸, 检验_葡萄糖",1.0000,0.0000,"0,1,0"
疾病_混合痔,条件概率,"疾病_高脂血症, 检验_尿酸, 检验_葡萄糖",1.0000,0.0000,"0,1,1"
疾病_混合痔,条件概率,"疾病_高脂血症, 检验_尿酸, 检验_葡萄糖",1.0000,0.0000,"1,0,0"
疾病_混合痔,条件概率,"疾病_高脂血症, 检验_尿酸, 检验_葡萄糖",1.0000,0.0000,"1,0,1"
疾病_混合痔,条件概率,"疾病_高脂血症, 检验_尿酸, 检验_葡萄糖",1.0000,0.0000,"1,1,0"
疾病_混合痔,条件概率,"疾病_高脂血症, 检验_尿酸, 检验_葡萄糖",1.0000,0.0000,"1,1,1"
疾病_高尿酸血症,条件概率,"疾病_糖尿病, 药物_阿托伐他汀钙片",1.0000,0.0000,"0,0"
疾病_高尿酸血症,条件概率,"疾病_糖尿病, 药物_阿托伐他汀钙片",0.8000,0.2000,"0,1"
疾病_高尿酸血症,条件概率,"疾病_糖尿病, 药物_阿托伐他汀钙片",0.6667,0.3333,"1,0"
疾病_高尿酸血症,条件概率,"疾病_糖尿病, 药物_阿托伐他汀钙片",0.5000,0.5000,"1,1"
疾病_心律失常,边际概率,,0.9000,0.1000,无条件
药物_氯化钠注射液,条件概率,"疾病_反流性食管炎, 药物_肝素钠注射液",0.9487,0.0513,"0,0"
药物_氯化钠注射液,条件概率,"疾病_反流性食管炎, 药物_肝素钠注射液",0.0000,1.0000,"0,1"
药物_氯化钠注射液,条件概率,"疾病_反流性食管炎, 药物_肝素钠注射液",0.8000,0.2000,"1,0"
药物_氯化钠注射液,条件概率,"疾病_反流性食管炎, 药物_肝素钠注射液",0.5000,0.5000,"1,1"
药物_艾司唑仑片,条件概率,"疾病_反流性食管炎, 疾病_心律失常, 检验_谷草/谷丙",0.9722,0.0278,"0,0,0"
药物_艾司唑仑片,条件概率,"疾病_反流性食管炎, 疾病_心律失常, 检验_谷草/谷丙",0.5000,0.5000,"0,0,1"
药物_艾司唑仑片,条件概率,"疾病_反流性食管炎, 疾病_心律失常, 检验_谷草/谷丙",0.7500,0.2500,"0,1,0"
药物_艾司唑仑片,条件概率,"疾病_反流性食管炎, 疾病_心律失常, 检验_谷草/谷丙",0.5000,0.5000,"0,1,1"
药物_艾司唑仑片,条件概率,"疾病_反流性食管炎, 疾病_心律失常, 检验_谷草/谷丙",0.5556,0.4444,"1,0,0"
药物_艾司唑仑片,条件概率,"疾病_反流性食管炎, 疾病_心律失常, 检验_谷草/谷丙",0.5000,0.5000,"1,0,1"
药物_艾司唑仑片,条件概率,"疾病_反流性食管炎, 疾病_心律失常, 检验_谷草/谷丙",1.0000,0.0000,"1,1,0"
药物_艾司唑仑片,条件概率,"疾病_反流性食管炎, 疾病_心律失常, 检验_谷草/谷丙",0.5000,0.5000,"1,1,1"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",1.0000,0.0000,"0,0,0,0"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",1.0000,0.0000,"0,0,0,1"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",0.5000,0.5000,"0,0,1,0"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",0.0000,1.0000,"0,0,1,1"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",1.0000,0.0000,"0,1,0,0"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",0.0000,1.0000,"0,1,0,1"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",0.6667,0.3333,"0,1,1,0"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",0.5000,0.5000,"0,1,1,1"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",1.0000,0.0000,"1,0,0,0"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",0.5000,0.5000,"1,0,0,1"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",1.0000,0.0000,"1,0,1,0"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",1.0000,0.0000,"1,0,1,1"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",1.0000,0.0000,"1,1,0,0"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",0.3333,0.6667,"1,1,0,1"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",1.0000,0.0000,"1,1,1,0"
药物_阿司匹林肠溶片,条件概率,"疾病_高血压, 疾病_高脂血症, 检验_钠, 疾病_糖尿病",0.5000,0.5000,"1,1,1,1"
药物_盐酸羟考酮缓释片,条件概率,疾病_糖尿病,1.0000,0.0000,0
药物_盐酸羟考酮缓释片,条件概率,疾病_糖尿病,0.8571,0.1429,1
药物_阿托伐他汀钙片,条件概率,疾病_高脂血症,0.9714,0.0286,0
药物_阿托伐他汀钙片,条件概率,疾病_高脂血症,0.6000,0.4000,1
药物_苯磺酸氨氯地平片,条件概率,"药物_硫酸氢氯吡格雷片, 检验_总蛋白, 疾病_高血压",1.0000,0.0000,"0,0,0"
药物_苯磺酸氨氯地平片,条件概率,"药物_硫酸氢氯吡格雷片, 检验_总蛋白, 疾病_高血压",1.0000,0.0000,"0,0,1"
药物_苯磺酸氨氯地平片,条件概率,"药物_硫酸氢氯吡格雷片, 检验_总蛋白, 疾病_高血压",1.0000,0.0000,"0,1,0"
药物_苯磺酸氨氯地平片,条件概率,"药物_硫酸氢氯吡格雷片, 检验_总蛋白, 疾病_高血压",0.8889,0.1111,"0,1,1"
药物_苯磺酸氨氯地平片,条件概率,"药物_硫酸氢氯吡格雷片, 检验_总蛋白, 疾病_高血压",1.0000,0.0000,"1,0,0"
药物_苯磺酸氨氯地平片,条件概率,"药物_硫酸氢氯吡格雷片, 检验_总蛋白, 疾病_高血压",0.5000,0.5000,"1,0,1"
药物_苯磺酸氨氯地平片,条件概率,"药物_硫酸氢氯吡格雷片, 检验_总蛋白, 疾病_高血压",0.5000,0.5000,"1,1,0"
药物_苯磺酸氨氯地平片,条件概率,"药物_硫酸氢氯吡格雷片, 检验_总蛋白, 疾病_高血压",0.0000,1.0000,"1,1,1"
药物_阿卡波糖片,条件概率,"疾病_糖尿病, 疾病_高血压",1.0000,0.0000,"0,0"
药物_阿卡波糖片,条件概率,"疾病_糖尿病, 疾病_高血压",1.0000,0.0000,"0,1"
药物_阿卡波糖片,条件概率,"疾病_糖尿病, 疾病_高血压",1.0000,0.0000,"1,0"
药物_阿卡波糖片,条件概率,"疾病_糖尿病, 疾病_高血压",0.3333,0.6667,"1,1"
药物_碳酸钙片,条件概率,"疾病_心律失常, 疾病_高血压, 检验_磷",1.0000,0.0000,"0,0,0"
药物_碳酸钙片,条件概率,"疾病_心律失常, 疾病_高血压, 检验_磷",0.5000,0.5000,"0,0,1"
药物_碳酸钙片,条件概率,"疾病_心律失常, 疾病_高血压, 检验_磷",1.0000,0.0000,"0,1,0"
药物_碳酸钙片,条件概率,"疾病_心律失常, 疾病_高血压, 检验_磷",0.5000,0.5000,"0,1,1"
药物_碳酸钙片,条件概率,"疾病_心律失常, 疾病_高血压, 检验_磷",1.0000,0.0000,"1,0,0"
药物_碳酸钙片,条件概率,"疾病_心律失常, 疾病_高血压, 检验_磷",1.0000,0.0000,"1,0,1"
药物_碳酸钙片,条件概率,"疾病_心律失常, 疾病_高血压, 检验_磷",0.5000,0.5000,"1,1,0"
药物_碳酸钙片,条件概率,"疾病_心律失常, 疾病_高血压, 检验_磷",0.5000,0.5000,"1,1,1"
药物_硫酸氢氯吡格雷片,条件概率,"检验_尿酸, 检验_谷草/谷丙",1.0000,0.0000,"0,0"
药物_硫酸氢氯吡格雷片,条件概率,"检验_尿酸, 检验_谷草/谷丙",0.5000,0.5000,"0,1"
药物_硫酸氢氯吡格雷片,条件概率,"检验_尿酸, 检验_谷草/谷丙",0.8824,0.1176,"1,0"
药物_硫酸氢氯吡格雷片,条件概率,"检验_尿酸, 检验_谷草/谷丙",0.5000,0.5000,"1,1"
药物_肝素钠注射液,条件概率,"检验_氯, 药物_氯化钠注射液",1.0000,0.0000,"0,0"
药物_肝素钠注射液,条件概率,"检验_氯, 药物_氯化钠注射液",1.0000,0.0000,"0,1"
药物_肝素钠注射液,条件概率,"检验_氯, 药物_氯化钠注射液",1.0000,0.0000,"1,0"
药物_肝素钠注射液,条件概率,"检验_氯, 药物_氯化钠注射液",0.5000,0.5000,"1,1"
检验_碳酸氢盐,条件概率,"检验_尿酸, 疾病_高血压",0.8571,0.1429,"0,0"
检验_碳酸氢盐,条件概率,"检验_尿酸, 疾病_高血压",0.8333,0.1667,"0,1"
检验_碳酸氢盐,条件概率,"检验_尿酸, 疾病_高血压",0.7273,0.2727,"1,0"
检验_碳酸氢盐,条件概率,"检验_尿酸, 疾病_高血压",0.1667,0.8333,"1,1"
检验_葡萄糖,条件概率,"疾病_混合痔, 检验_氯, 疾病_糖尿病",0.7895,0.2105,"0,0,0"
检验_葡萄糖,条件概率,"疾病_混合痔, 检验_氯, 疾病_糖尿病",0.2500,0.7500,"0,0,1"
检验_葡萄糖,条件概率,"疾病_混合痔, 检验_氯, 疾病_糖尿病",0.8333,0.1667,"0,1,0"
检验_葡萄糖,条件概率,"疾病_混合痔, 检验_氯, 疾病_糖尿病",1.0000,0.0000,"0,1,1"
检验_葡萄糖,条件概率,"疾病_混合痔, 检验_氯, 疾病_糖尿病",1.0000,0.0000,"1,0,0"
检验_葡萄糖,条件概率,"疾病_混合痔, 检验_氯, 疾病_糖尿病",0.5000,0.5000,"1,0,1"
检验_葡萄糖,条件概率,"疾病_混合痔, 检验_氯, 疾病_糖尿病",0.5000,0.5000,"1,1,0"
检验_葡萄糖,条件概率,"疾病_混合痔, 检验_氯, 疾病_糖尿病",1.0000,0.0000,"1,1,1"
检验_钾,条件概率,"检验_谷草/谷丙, 疾病_高血压",1.0000,0.0000,"0,0"
检验_钾,条件概率,"检验_谷草/谷丙, 疾病_高血压",0.8333,0.1667,"0,1"
检验_钾,条件概率,"检验_谷草/谷丙, 疾病_高血压",0.5000,0.5000,"1,0"
检验_钾,条件概率,"检验_谷草/谷丙, 疾病_高血压",0.5000,0.5000,"1,1"
检验_尿酸,条件概率,"疾病_混合痔, 检验_碳酸氢盐",0.6538,0.3462,"0,0"
检验_尿酸,条件概率,"疾病_混合痔, 检验_碳酸氢盐",0.3333,0.6667,"0,1"
检验_尿酸,条件概率,"疾病_混合痔, 检验_碳酸氢盐",1.0000,0.0000,"1,0"
检验_尿酸,条件概率,"疾病_混合痔, 检验_碳酸氢盐",1.0000,0.0000,"1,1"
检验_氯,条件概率,"检验_钠, 检验_总蛋白",0.9655,0.0345,"0,0"
检验_氯,条件概率,"检验_钠, 检验_总蛋白",0.7692,0.2308,"0,1"
检验_氯,条件概率,"检验_钠, 检验_总蛋白",0.6667,0.3333,"1,0"
检验_氯,条件概率,"检验_钠, 检验_总蛋白",0.0000,1.0000,"1,1"
检验_钠,条件概率,检验_氯,0.9048,0.0952,0
检验_钠,条件概率,检验_氯,0.5000,0.5000,1
检验_镁,条件概率,检验_尿酸,1.0000,0.0000,0
检验_镁,条件概率,检验_尿酸,0.8235,0.1765,1
检验_磷,条件概率,"检验_尿酸, 检验_碳酸氢盐",1.0000,0.0000,"0,0"
检验_磷,条件概率,"检验_尿酸, 检验_碳酸氢盐",1.0000,0.0000,"0,1"
检验_磷,条件概率,"检验_尿酸, 检验_碳酸氢盐",0.6667,0.3333,"1,0"
检验_磷,条件概率,"检验_尿酸, 检验_碳酸氢盐",1.0000,0.0000,"1,1"
检验_总蛋白,条件概率,"疾病_高血压, 检验_碳酸氢盐",0.8846,0.1154,"0,0"
检验_总蛋白,条件概率,"疾病_高血压, 检验_碳酸氢盐",0.6667,0.3333,"0,1"
检验_总蛋白,条件概率,"疾病_高血压, 检验_碳酸氢盐",0.1818,0.8182,"1,0"
检验_总蛋白,条件概率,"疾病_高血压, 检验_碳酸氢盐",0.8571,0.1429,"1,1"
检验_谷草/谷丙,条件概率,"检验_钠, 药物_氯化钠注射液",1.0000,0.0000,"0,0"
检验_谷草/谷丙,条件概率,"检验_钠, 药物_氯化钠注射液",1.0000,0.0000,"0,1"
检验_谷草/谷丙,条件概率,"检验_钠, 药物_氯化钠注射液",1.0000,0.0000,"1,0"
检验_谷草/谷丙,条件概率,"检验_钠, 药物_氯化钠注射液",1.0000,0.0000,"1,1"
